"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Thu Feb 17 10:40:53 PST 2022","Wed Dec 31 16:00:00 PST 1969","-1645123253866","","AwesomeApp Application: Settings tab load","","AwesomeApp Application: Settings tab load","Then the settings tab loads","Then the settings tab loads",""
"unknown","Thu Feb 17 10:52:25 PST 2022","Wed Dec 31 16:00:00 PST 1969","-1645123945597","","AwesomeApp Application: Dashboard tab loads","","AwesomeApp Application: Dashboard tab loads","Then the dashboard tab loads","Then the dashboard tab loads",""
"unknown","Thu Feb 17 10:52:13 PST 2022","Wed Dec 31 16:00:00 PST 1969","-1645123933842","","AwesomeApp Application: Settings tab load","","AwesomeApp Application: Settings tab load","Then the settings tab loads","Then the settings tab loads",""
"failed","Thu Feb 17 10:52:02 PST 2022","Thu Feb 17 10:52:13 PST 2022","11637","","AwesomeApp Application: Settings tab load","","AwesomeApp Application: Settings tab load","Given the current view is the app landing page","Given the current view is the app landing page",""
"passed","Thu Feb 17 10:40:53 PST 2022","Thu Feb 17 10:40:54 PST 2022","667","","AwesomeApp Application: Dashboard tab loads","","AwesomeApp Application: Dashboard tab loads","Given the current view is the settings page","Given the current view is the settings page",""
"unknown","Thu Feb 17 10:52:25 PST 2022","Wed Dec 31 16:00:00 PST 1969","-1645123945597","","AwesomeApp Application: Dashboard tab loads","","AwesomeApp Application: Dashboard tab loads","When the dashboard button is pressed","When the dashboard button is pressed",""
"passed","Thu Feb 17 10:40:53 PST 2022","Thu Feb 17 10:40:53 PST 2022","4","","AwesomeApp Application: Settings tab load","","AwesomeApp Application: Settings tab load","","",""
"passed","Thu Feb 17 10:40:57 PST 2022","Thu Feb 17 10:40:57 PST 2022","5","","AwesomeApp Application: Validate side menu alert","","AwesomeApp Application: Validate side menu alert","Given the user menu slider is opened","Given the user menu slider is opened",""
"passed","Thu Feb 17 10:52:25 PST 2022","Thu Feb 17 10:52:25 PST 2022","4","","AwesomeApp Application: Dashboard tab loads","","AwesomeApp Application: Dashboard tab loads","","",""
"passed","Thu Feb 17 10:40:57 PST 2022","Thu Feb 17 10:40:57 PST 2022","2","","AwesomeApp Application: Dashboard tab loads","","AwesomeApp Application: Dashboard tab loads","","",""
"passed","Thu Feb 17 10:40:57 PST 2022","Thu Feb 17 10:41:02 PST 2022","5666","","AwesomeApp Application: Validate side menu alert","","AwesomeApp Application: Validate side menu alert","When the side menu button is pressed","When the side menu button is pressed",""
"failed","Thu Feb 17 10:52:13 PST 2022","Thu Feb 17 10:52:25 PST 2022","11732","","AwesomeApp Application: Dashboard tab loads","","AwesomeApp Application: Dashboard tab loads","Given the current view is the settings page","Given the current view is the settings page",""
"passed","Thu Feb 17 10:52:30 PST 2022","Thu Feb 17 10:52:34 PST 2022","4548","","AwesomeApp Application: Validate side menu alert","","AwesomeApp Application: Validate side menu alert","Then the alert is displayed","Then the alert is displayed",""
"passed","Thu Feb 17 10:41:02 PST 2022","Thu Feb 17 10:41:06 PST 2022","4018","","AwesomeApp Application: Validate side menu alert","","AwesomeApp Application: Validate side menu alert","Then the alert is displayed","Then the alert is displayed",""
"passed","Thu Feb 17 10:40:54 PST 2022","Thu Feb 17 10:40:54 PST 2022","237","","AwesomeApp Application: Dashboard tab loads","","AwesomeApp Application: Dashboard tab loads","When the dashboard button is pressed","When the dashboard button is pressed",""
"passed","Thu Feb 17 10:52:13 PST 2022","Thu Feb 17 10:52:13 PST 2022","0","","AwesomeApp Application: Settings tab load","","AwesomeApp Application: Settings tab load","","",""
"unknown","Thu Feb 17 10:52:13 PST 2022","Wed Dec 31 16:00:00 PST 1969","-1645123933841","","AwesomeApp Application: Settings tab load","","AwesomeApp Application: Settings tab load","When the settings button is pressed","When the settings button is pressed",""
"passed","Thu Feb 17 10:52:34 PST 2022","Thu Feb 17 10:52:34 PST 2022","1","","AwesomeApp Application: Validate side menu alert","","AwesomeApp Application: Validate side menu alert","","",""
"passed","Thu Feb 17 10:52:25 PST 2022","Thu Feb 17 10:52:30 PST 2022","4559","","AwesomeApp Application: Validate side menu alert","","AwesomeApp Application: Validate side menu alert","When the side menu button is pressed","When the side menu button is pressed",""
"passed","Thu Feb 17 10:41:06 PST 2022","Thu Feb 17 10:41:06 PST 2022","1","","AwesomeApp Application: Validate side menu alert","","AwesomeApp Application: Validate side menu alert","","",""
"passed","Thu Feb 17 10:52:25 PST 2022","Thu Feb 17 10:52:25 PST 2022","8","","AwesomeApp Application: Validate side menu alert","","AwesomeApp Application: Validate side menu alert","Given the user menu slider is opened","Given the user menu slider is opened",""
"unknown","Thu Feb 17 10:40:53 PST 2022","Wed Dec 31 16:00:00 PST 1969","-1645123253865","","AwesomeApp Application: Settings tab load","","AwesomeApp Application: Settings tab load","When the settings button is pressed","When the settings button is pressed",""
"passed","Thu Feb 17 10:40:54 PST 2022","Thu Feb 17 10:40:57 PST 2022","2396","","AwesomeApp Application: Dashboard tab loads","","AwesomeApp Application: Dashboard tab loads","Then the dashboard tab loads","Then the dashboard tab loads",""
"failed","Thu Feb 17 10:40:41 PST 2022","Thu Feb 17 10:40:53 PST 2022","12363","","AwesomeApp Application: Settings tab load","","AwesomeApp Application: Settings tab load","Given the current view is the app landing page","Given the current view is the app landing page",""
